seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,element,LocalLabel,LocalDocumentation,
229,2,Attribute,,Serial or Lot,Original Quantity,xbrli:decimalItemType,,0..1,The quantity of units in this batch on inception.,gl-ehm,,シリアル・ロット元数量,このロットが生成された時点の元の数量。,
230,2,Attribute,,Serial or Lot,Remaining Quantity,xbrli:decimalItemType,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-ehm,,シリアル・ロット残数量,元ロットからの残りの数量。,
231,2,Attribute,,Serial or Lot,Origination,xbrli:dateTimeItemType,,0..1,Date of manufacture or creation.,gl-ehm,,シリアル・ロット生成日,製造日または作成日。,
232,2,Attribute,,Serial or Lot,Expiration,xbrli:dateTimeItemType,,0..1,Expiration date of the batch.,gl-ehm,,シリアル・ロット有効期限,ロットの有効期限。,
233,2,Attribute,,Serial or Lot,Manufacturer,xbrli:stringItemType,,0..1,Manufacturer of the item (serial) or items (lot/batch).,gl-ehm,,シリアル・ロット製造元,シリアル番号またはロットの製造者。,
234,2,Attribute,,Serial or Lot,Batch Description,xbrli:stringItemType,,0..1,A name or description of the items in the lot or batch.,gl-ehm,,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。,
235,2,Attribute,,Serial or Lot,Warranty Start Date,xbrli:dateTimeItemType,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",gl-ehm,,保証開始日,保証対象となる場合の保証開始日。,
236,2,Attribute,,Serial or Lot,Warranty End Date,xbrli:dateTimeItemType,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",gl-ehm,,保証終了日,保証対象となる場合の保証終了日。,
237,2,Attribute,,Serial or Lot,Warranty Period,xbrli:decimalItemType,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",gl-ehm,,保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。,
238,2,Attribute,,Serial or Lot,Warrant Period Unit,xbrli:stringItemType,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",gl-ehm,,保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。,
239,2,Attribute,,Serial or Lot,Warranty Vendor,xbrli:stringItemType,,0..1,The vendor providing warranty; this may differ from the manufacturer.,gl-ehm,,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。,
240,2,Attribute,,Serial or Lot,Warranty Contract,xbrli:stringItemType,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",gl-ehm,,保証契約情報,保証に関する契約番号、日付、URL などの情報。,
241,2,Attribute,,Serial or Lot,Comment,xbrli:stringItemType,,0..1,Free format text related to the serial number or lot.,gl-ehm,,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。,
242,1,Class,,Tax Information,,,,0..*,Tuple for holding tax related information,gl-cor,,【税情報】,税関連の情報のタプル。,
243,2,Attribute,,Tax Information,Authority,xbrli:stringItemType,,0..1,Name of the relevant tax authority,gl-cor,,課税庁,関係する課税庁の名前。,
244,2,Attribute,,Tax Information,Table Code,xbrli:stringItemType,,0..1,Tax table code used by the relevant tax authority,gl-cor,,税率表コード,関係する課税庁で使用される税率表のコード。,
245,2,Attribute,,Tax Information,Description,xbrli:stringItemType,,0..1,Description of tax authority,gl-cor,,課税庁説明,課税庁の説明。,
246,2,Attribute,,Tax Information,Amount of Taxes,xbrli:monetaryItemType,,0..1,Amount of taxes,gl-cor,,税額,税額。,
247,2,Attribute,,Tax Information,Basis for Taxation,xbrli:monetaryItemType,,0..1,Basis for taxation,gl-cor,,課税基準,課税基準。,
248,2,Attribute,,Tax Information,Percentage Rate,xbrli:pureItemType,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",
249,2,Attribute,,Tax Information,Category,xbrli:stringItemType,,0..1,A class or category of taxes,gl-cor,,税区分,税のクラス又はカテゴリ。,
250,2,Attribute,,Tax Information,Comment/Exemption Reason,xbrli:stringItemType,,0..1,Additional text/code for exemption reasons or other comments.,gl-cor,,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,
251,2,Composition,,Tax Information,,,Foreign to Local Currency Conversion,0..1,,gl-muc,,,,
252,2,Composition,,Tax Information,,,Triangulation to Local Conversion,0..1,,gl-muc,,,,
253,2,Composition,,Tax Information,,,Foreign to Triangulation Conversion,0..1,,gl-muc,,,,
254,1,Class,,Originating Document,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-taf,,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,
255,2,Attribute,PK,Originating Document,Identifier Code,xbrli:stringItemType,,0..1,Originating document identifier code,gl-taf,,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,
256,2,Attribute,,Originating Document,Type,xbrli:tokenItemType,,0..1,"Originating document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",gl-taf,,発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other),
257,2,Attribute,,Originating Document,Number,xbrli:stringItemType,,0..1,Originating document number,gl-taf,,発生元文書番号,発生元文書の番号。,
258,2,Attribute,,Originating Document,Date,xbrli:dateItemType,,0..1,Originating document date,gl-taf,,発生元文書日付,発生元文書の日付。,
259,2,Attribute,,Originating Document,Identifier Type,xbrli:tokenItemType,,0..1,"Originating document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",gl-taf,,発生元文書対象CVE種別,"発生元文書の対象となるCVEの種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)",
260,2,Attribute,,Originating Document,Identifier Tax Code,xbrli:stringItemType,,0..1,Originating document identifier tax code,gl-taf,,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,
261,1,Class,,Entry Detail,,,,0..*,Parent for entry detail,gl-cor,,【仕訳明細】,仕訳明細の親タグ。,
262,2,Attribute,PK,Entry Detail,Line Number,xbrli:stringItemType,,0..1,Identifier for a particular entry detail,gl-cor,,明細行番号,仕訳明細の識別子。,
263,2,Attribute,,Entry Detail,Line Number Counter,xbrli:decimalItemType,,0..1,Unique reference for the line - a numeric counter,gl-cor,,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,
264,2,Attribute,,Entry Detail,Monetary Amount,xbrli:monetaryItemType,,0..1,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",gl-cor,,金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,
265,2,Attribute,,Entry Detail,Currency,xbrli:QNameItemType,,0..1,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",gl-muc,,通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,
266,2,Attribute,,Entry Detail,Sign Indication for Amount,xbrli:tokenItemType,,0..1,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。
[設定値のリスト]
(+)、(-)、(plus：プラス)、(minus：マイナス)",
267,2,Attribute,,Entry Detail,Debit/Credit Identifier,xbrli:tokenItemType,,0..1,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",gl-cor,,貸借区分コード,"金額が借方か貸方か不定かを示す識別子。
[設定値のリスト]
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定)",
268,2,Attribute,,Entry Detail,Posting Date,xbrli:dateTimeItemType,,0..1,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",gl-cor,,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,
269,2,Attribute,,Entry Detail,Memo Line,xbrli:booleanItemType,,0..1,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-bus,,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,
270,2,Attribute,,Entry Detail,Allocation Code,xbrli:stringItemType,,0..1,A code that is tied to the Enterprise's allocation system.,gl-bus,,配分コード,配賦システムに結びつけるコード。,
271,2,Attribute,,Entry Detail,Document Type,xbrli:tokenItemType,,0..1,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",gl-cor,,元文書種別,"小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト] (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)",
272,2,Attribute,,Entry Detail,Document Type Description,xbrli:stringItemType,,0..1,Free format description of the document type,gl-cor,,元文書種別説明,元文書の種別の説明。,
273,2,Attribute,,Entry Detail,Invoice Type,xbrli:tokenItemType,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,,請求書種別,"請求書の種別。(self-billed、ePoS)
[設定値のリスト]
(ePos：POSシステムからの発行)、(self-billed：手動発行)",
274,2,Attribute,,Entry Detail,Document Number,xbrli:stringItemType,,0..1,"Invoice, check, voucher, or other source document identifier",gl-cor,,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,
275,2,Attribute,,Entry Detail,Apply To Number,xbrli:stringItemType,,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",gl-cor,,適用先番号,"支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。
未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。",
276,2,Attribute,,Entry Detail,Document Reference,xbrli:stringItemType,,0..1,Internal reference for the document above; number assigned internally to track the document,gl-cor,,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,
277,2,Attribute,,Entry Detail,Document Date,xbrli:dateTimeItemType,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,
278,2,Attribute,,Entry Detail,Received Date,xbrli:dateTimeItemType,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-bus,,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,
279,2,Attribute,,Entry Detail,Chargeable or Reimbursable,xbrli:stringItemType,,0..1,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-bus,,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,
280,2,Attribute,,Entry Detail,Document Location,xbrli:stringItemType,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",gl-bus,,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,
281,2,Attribute,,Entry Detail,Payment Method,xbrli:stringItemType,,0..1,Method used or to be used to make the payment,gl-bus,,支払方法,支払いのために使用された、または使用される方法。,
282,2,Attribute,,Entry Detail,Posting Status,xbrli:tokenItemType,,0..1,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",gl-cor,,転記状態,"・据置：入力されたが、まだ転記できない。
・転記済：転記済み。
・提案済：検証が必要な項目。
・シミュレーション：仮定のためにシミュレートされた項目。
・税：税項目。
・未転記：入力されたが、まだ検証も転記もされていない。
・取消済：入力されたが、取り消された。
・その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",
283,2,Attribute,,Entry Detail,Posting Status Description,xbrli:stringItemType,,0..1,Free format description of the posting status,gl-cor,,転記状態説明,転記状態の説明。,
284,2,Attribute,,Entry Detail,Description,xbrli:stringItemType,,0..1,Description of this line of detail only,gl-cor,,説明,この明細行のみに対する説明。,
285,2,Attribute,,Entry Detail,Acknowledgement Date,xbrli:dateTimeItemType,,0..1,Date of acknowledgement of goods/services shipped/received.,gl-cor,,承認日付,出荷/受領済みの物品/サービスを承認した日付。,
286,2,Attribute,,Entry Detail,Confirmation Date,xbrli:dateTimeItemType,,0..1,Date of confirmation of shipment/receipt.,gl-cor,,確認日付,出荷/受領を確認した日付。,
287,2,Attribute,,Entry Detail,Ship From,xbrli:stringItemType,,0..1,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,
288,2,Attribute,,Entry Detail,Date Shipped/Received,xbrli:dateTimeItemType,,0..1,Date goods/services are shipped/received.,gl-cor,,出荷/受領日付,物品/サービスを出荷/受領した日付。,
289,2,Attribute,,Entry Detail,Maturity Date or Date Due,xbrli:dateTimeItemType,,0..1,Due date or other maturity date.,gl-cor,,支払期日,支払期日やその他の期日。,
290,2,Attribute,,Entry Detail,Payment Terms,xbrli:stringItemType,,0..1,Discount/payment terms.,gl-cor,,支払条件,割引/支払い条件。,
291,2,Attribute,,Entry Detail,Measurable Class Identifier,xbrli:tokenItemType,,0..1,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",gl-ehm,,測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。,
292,2,Attribute,,Entry Detail,Measurable Class Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,gl-ehm,,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,
293,2,Attribute,,Entry Detail,Costing Method Code,xbrli:tokenItemType,,0..1,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",gl-ehm,,原価計算方法コード,在庫または他の測定可能な対象の原価計算方法を示す列挙コード。列挙例：LIFO、FIFO、平均法、加重平均法、標準原価法、税基準、帳簿基準、その他。,
294,2,Attribute,,Entry Detail,Costing Method Description,xbrli:stringItemType,,0..1,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,gl-ehm,,原価計算方法の説明,「その他」の列挙値に関する補足説明または特定のための自由記述形式。,
295,2,Attribute,,Entry Detail,Geospatial Coordinate,xbrli:stringItemType,,0..1,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",gl-ehm,,地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",
296,2,Attribute,,Entry Detail,Ticking Field,xbrli:booleanItemType,,0..1,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the
original document against which a payment or DR/CR memo applies has been reconciled.",gl-taf,,チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。,
297,2,Attribute,,Entry Detail,Document Remaining Balance,xbrli:monetaryItemType,,0..1,Balance remaining on the document,gl-taf,,文書上残高,文書上の残高。,
298,2,Attribute,,Entry Detail,UCR,xbrli:stringItemType,,0..1,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-taf,,UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。
(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",
299,2,Composition,,Entry Detail,,,Account Identifier,0..*,,gl-cor,,【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",
300,2,Composition,,Entry Detail,,,Multicurrency Detail,0..*,,gl-muc,,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",
301,2,Composition,,Entry Detail,,,Identifier Reference,0..*,,gl-cor,,【CVE情報】,顧客、仕入先、従業員のための識別子。,
302,2,Composition,,Entry Detail,,,XBRL Information,0..*,,gl-cor,,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,
303,2,Composition,,Entry Detail,,,Measurable,0..*,,gl-bus,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,
304,2,Composition,,Entry Detail,,,Job Information,0..*,,gl-bus,,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,
305,2,Composition,,Entry Detail,,,Depreciation Mortgage,0..*,,gl-bus,,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,
306,2,Composition,,Entry Detail,,,Serial or Lot,0..*,,gl-ehm,,【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,
307,2,Composition,,Entry Detail,,,Tax Information,0..*,,gl-cor,,【税情報】,税関連の情報のタプル。,
308,2,Composition,,Entry Detail,,,Originating Document,0..*,,gl-taf,,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,
309,2,Composition,,Entry Detail,,,Rich Text Comment,0..*,,gl-srcd,,【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。,
310,1,Class,,Entry Header,,,,0..*,Parent for entry headers/journal entry headers.,gl-cor,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,
311,2,Attribute,PK,Entry Header,Entry Identifier,xbrli:stringItemType,,0..1,Identifier within source journal,gl-cor,,仕訳識別子,元仕訳帳中の識別子。,
312,2,Attribute,,Entry Header,Date Posted,xbrli:dateTimeItemType,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,
313,2,Attribute,,Entry Header,Source Journal,xbrli:tokenItemType,,0..1,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",gl-cor,,元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他
[設定値のリスト]
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",
314,2,Attribute,,Entry Header,Journal Description,xbrli:stringItemType,,0..1,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-bus,,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,
315,2,Attribute,,Entry Header,Type Identifier,xbrli:tokenItemType,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,,種別識別子,"以下の値のうちのひとつ。
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他
[設定値のリスト]
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",
316,2,Attribute,,Entry Header,Entry Origin,xbrli:stringItemType,,0..1,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",gl-bus,,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,
317,2,Attribute,,Entry Header,Entry Description,xbrli:stringItemType,,0..1,Description of entry described by this entry header (e.g. Opening Balance),gl-cor,,仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),
318,2,Attribute,,Entry Header,Entry Qualifier,xbrli:tokenItemType,,0..1,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,,仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他
[設定値のリスト]
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",
319,2,Attribute,,Entry Header,Entry Qualifier Description,xbrli:stringItemType,,0..1,Free format description of the entry qualifier,gl-cor,,仕訳修飾子説明,仕訳の修飾子の説明。,
320,2,Attribute,,Entry Header,Posting Code,xbrli:stringItemType,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",gl-bus,,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,
321,2,Attribute,,Entry Header,Batch ID for Entry Group,xbrli:stringItemType,,0..1,ID for a batch for this group of entries,gl-bus,,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,
322,2,Attribute,,Entry Header,Batch Description,xbrli:stringItemType,,0..1,Description of this batch,gl-bus,,仕訳グループ説明,この仕訳の束の説明。,
