sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,table,domain_name,element,label_local,definition_local,xpath,id
327,2,Attribute,,Entry Header,Currency,xbrli:QNameItemType,,0..1,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",gl-cor,0,,,通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,,CO15_MC15_17
328,2,Attribute,,Entry Header,Sign Indication for Amount,xbrli:tokenItemType,,0..1,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,0,,,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。
[設定値のリスト]
(+)、(-)、(plus：プラス)、(minus：マイナス)",,CO15_18
333,2,Attribute,,Entry Header,Document Date,xbrli:dateTimeItemType,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,0,,,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,,CO15_23
334,2,Attribute,,Entry Header,Received Date,xbrli:dateTimeItemType,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-cor,0,,,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,,CO15_BU15_24
335,2,Attribute,,Entry Header,Chargeable or Reimbursable,xbrli:stringItemType,,0..1,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-cor,0,,,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,,CO15_BU15_25
336,2,Attribute,,Entry Header,Document Location,xbrli:stringItemType,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",gl-cor,0,,,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,,CO15_BU15_26
337,2,Attribute,,Entry Header,Payment Method,xbrli:stringItemType,,0..1,Method used or to be used to make the payment,gl-cor,0,,,支払方法,支払いのために使用された、または使用される方法。,,CO15_BU15_27
338,2,Attribute,,Entry Header,Number of Entries,xbrli:integerItemType,,0..1,The total number of entries.,gl-cor,0,,,仕訳総数,仕訳の総数。,,CO15_BU15_28
339,2,Attribute,,Entry Header,Total Debits,xbrli:monetaryItemType,,0..1,The total of all debit amounts.,gl-cor,0,,,借方合計,借方金額の合計値。,,CO15_BU15_29
340,2,Attribute,,Entry Header,Total Credits,xbrli:monetaryItemType,,0..1,The total of all credit amounts.,gl-cor,0,,,貸方合計,貸方金額の合計値。,,CO15_BU15_30
341,2,Attribute,,Entry Header,Type of Difference,xbrli:tokenItemType,,0..1,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,0,,,帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。
[設定値のリスト]
(permanent：永久)、(temporary：一時的)、(none：無し)",,CO15_31
342,2,Attribute,,Entry Header,Elimination Code,xbrli:stringItemType,,0..1,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-cor,0,,,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,,CO15_BU15_32
343,2,Attribute,,Entry Header,Budget Scenario Period Start,xbrli:dateTimeItemType,,0..1,Start of period covered by associated budgetScenario,gl-cor,0,,,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,,CO15_BU15_33
344,2,Attribute,,Entry Header,Budget Scenario Period End,xbrli:dateTimeItemType,,0..1,End of period covered by associated budgetScenario,gl-cor,0,,,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,,CO15_BU15_34
345,2,Attribute,,Entry Header,Scenario Description,xbrli:stringItemType,,0..1,Text related to budgetScenario,gl-cor,0,,,シナリオ説明,budgetScenarioに関する記述。,,CO15_BU15_35
346,2,Attribute,,Entry Header,Scenario Code,xbrli:stringItemType,,0..1,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-cor,0,,,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,,CO15_BU15_36
347,2,Attribute,,Entry Header,Budget Allocation Code,xbrli:tokenItemType,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,0,,,予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計
[設定値のリスト]
(D：期間数での分割)、(T：与えられた期間の合計)",,CO15_BU15_37
349,2,Attribute,,Entry Header,Recurring Standard Description,xbrli:stringItemType,,0..1,Description to accompany standard or recurring ID,gl-cor,0,,,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,,CO15_UK15_39
350,2,Attribute,,Entry Header,Frequency Interval,xbrli:decimalItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",gl-cor,0,,,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,,CO15_UK15_40
351,2,Attribute,,Entry Header,Frequency Unit,xbrli:stringItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",gl-cor,0,,,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,,CO15_UK15_41
352,2,Attribute,,Entry Header,Repetitions Remaining,xbrli:integerItemType,,0..1,Number of times that the recurring entry will repeat,gl-cor,0,,,反復残回数,反復仕訳の繰り返し予定数。,,CO15_UK15_42
353,2,Attribute,,Entry Header,Next Date Repeat,xbrli:dateTimeItemType,,0..1,Date next repeated or standard posted,gl-cor,0,,,次回反復日付,次回の反復あるいは通常の転記日。,,CO15_UK15_43
354,2,Attribute,,Entry Header,Last Date Repeat,xbrli:dateTimeItemType,,0..1,Date last repeated or standard posted,gl-cor,0,,,前回反復日付,前回の反復あるいは通常の転記日。,,CO15_UK15_44
355,2,Attribute,,Entry Header,End Date of Repeating Entry,xbrli:dateTimeItemType,,0..1,"For standard or recurring journals, stop date/time for repetitive entry.",gl-cor,0,,,反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,,CO15_UK15_45
356,2,Attribute,,Entry Header,Reverse,xbrli:booleanItemType,,0..1,Should entry be reversed?,gl-cor,0,,,反対仕訳要否,仕訳が取り消されるべきか。,,CO15_UK15_46
357,2,Attribute,,Entry Header,Reversing Date,xbrli:dateTimeItemType,,0..1,Date this entry should be reversed,gl-cor,0,,,反対仕訳日付,この仕訳が取り消されるべき日付。,,CO15_UK15_47
358,2,Attribute,,Entry Header,Entry Number Counter,xbrli:decimalItemType,,0..1,Unique reference for the entry - a numeric counter,gl-cor,0,,,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,,CO15_48
330,2,Reference Association,,Entry Header,Document Number,,Originating Document,0..1,"Invoice, check, voucher, or other source document identifier",gl-cor,0,,,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,,CO15_20
331,2,Reference Association,,Entry Header,Apply To Number,,Originating Document,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",gl-cor,0,,,適用先番号,"支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。
未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。",,CO15_21
332,2,Reference Association,,Entry Header,Document Reference,,Originating Document,0..1,Internal reference for the document above; number assigned internally to track the document,gl-cor,0,,,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,,CO15_22
348,2,Reference Association,,Entry Header,ID for Associated Entry,,Entry Header,0..1,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",gl-cor,0,,,反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,,CO15_UK15_38
329,2,Composition,,Entry Header,,,Multicurrency Detail,0..*,,gl-cor,0,,,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",,CO15_MC15_19
359,2,Composition,,Entry Header,,,Entered,0..1,,gl-cor,0,,,,,,CO15_49
360,2,Composition,,Entry Header,,,Approved,0..1,,gl-cor,0,,,,,,CO15_50
361,2,Composition,,Entry Header,,,Last Modified,0..1,,gl-cor,0,,,,,,CO15_51
362,2,Composition,,Entry Header,,,Entry Detail,0..*,,gl-cor,0,,,【仕訳明細】,仕訳明細の親タグ。,,CO15_52
149,1,Class,,Exchange Conversion,,,,,,gl-muc,0,,,,,,MC01
150,2,Attribute,,Exchange Conversion,Amount,xbrli:monetaryItemType,,1,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,,,換算された金額,通貨換算後の金額。換算先の通貨で表される。,,MC01_01
151,2,Attribute,,Exchange Conversion,Currency,xbrli:QNameItemType,,1,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,,,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,,MC01_02
152,2,Attribute,,Exchange Conversion,Exchange Rate,xbrli:pureItemType,,0..1,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,,,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,,MC01_03
153,2,Attribute,,Exchange Conversion,Exchange Rate Source,xbrli:stringItemType,,0..1,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,,,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,,MC01_04
154,2,Attribute,,Exchange Conversion,Exchange Rate Type,xbrli:stringItemType,,0..1,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,,,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,,MC01_05
155,2,Attribute,,Exchange Conversion,Exchange Rate Date,xbrli:dateTimeItemType,,0..1,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,0,,,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,,MC01_06
156,2,Attribute,,Exchange Conversion,Exchange Rate Description,xbrli:stringItemType,,0..1,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,0,,,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,,MC01_07
145,1,Class,,External Authority,,,,0..*,Structure containing references to an external authority associated with identifier,gl-cor,0,,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,,CO10
146,2,Attribute,PK,External Authority,ID Number,xbrli:stringItemType,,0..1,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,0,,,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,,CO10_01
147,2,Attribute,,External Authority,Name,xbrli:stringItemType,,0..1,Name of External Authority (e.g. Tax Authority),gl-cor,0,,,外部機関名,外部機関の名前（たとえば、税務署）,,CO10_02
148,2,Attribute,,External Authority,Verification Date,xbrli:dateTimeItemType,,0..1,Date on which the External Authority last performed a verification,gl-cor,0,,,外部機関認証日付,外部機関が最後に認証した日付。,,CO10_03
4,1,Class,,Fax,,,,0..*,Fax number information.,gl-bus,0,,,【FAX番号】,FAX番号情報。,,BU02
5,2,Attribute,,Fax,Usage,xbrli:stringItemType,,0..1,"Fax number usage (e.g. orders, head office, IR)",gl-bus,0,,,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),,BU02_01
6,2,Attribute,,Fax,Number,xbrli:stringItemType,,0..1,Fax Number,gl-bus,0,,,FAX番号,FAX番号。,,BU02_02
157,1,Class,,Foreign to Local Currency Conversion,,,,0..*,,gl-muc,0,,,,,,MC02
150,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Amount,xbrli:monetaryItemType,,1,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,,,換算された金額,通貨換算後の金額。換算先の通貨で表される。,,MC02_MC01_01
151,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Currency,xbrli:QNameItemType,,1,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,,,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,,MC02_MC01_02
152,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Exchange Rate,xbrli:pureItemType,,0..1,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,,,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,,MC02_MC01_03
153,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Exchange Rate Source,xbrli:stringItemType,,0..1,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,,,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,,MC02_MC01_04
154,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Exchange Rate Type,xbrli:stringItemType,,0..1,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,,,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,,MC02_MC01_05
155,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Exchange Rate Date,xbrli:dateTimeItemType,,0..1,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,0,,,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,,MC02_MC01_06
156,2,Attribute,,Foreign to Local Currency Conversion.Exchange Conversion,Exchange Rate Description,xbrli:stringItemType,,0..1,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,0,,,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,,MC02_MC01_07
161,1,Class,,Foreign to Triangulation Conversion,,,,0..*,,gl-muc,0,,,,,,MC04
150,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Amount,xbrli:monetaryItemType,,1,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,,,換算された金額,通貨換算後の金額。換算先の通貨で表される。,,MC04_MC01_01
151,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Currency,xbrli:QNameItemType,,1,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,,,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,,MC04_MC01_02
152,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Exchange Rate,xbrli:pureItemType,,0..1,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,,,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,,MC04_MC01_03
153,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Exchange Rate Source,xbrli:stringItemType,,0..1,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,,,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,,MC04_MC01_04
154,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Exchange Rate Type,xbrli:stringItemType,,0..1,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,,,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,,MC04_MC01_05
155,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Exchange Rate Date,xbrli:dateTimeItemType,,0..1,The date on which the exchange rate was applied or became effective for the conversion.,gl-muc,0,,,適用されたレートの日付,当該為替レートが適用された日付、または換算に有効となった日付。,,MC04_MC01_06
156,2,Attribute,,Foreign to Triangulation Conversion.Exchange Conversion,Exchange Rate Description,xbrli:stringItemType,,0..1,An optional comment providing additional context or clarification regarding the exchange rate or conversion process.,gl-muc,0,,,説明文,為替レートまたは換算処理に関する補足的な文脈や説明を提供する説明文。,,MC04_MC01_07
167,1,Class,,Identifier Reference,,,,0..*,"Identification for customer, vendor, or employee.",gl-cor,0,,,【CVE情報】,顧客、仕入先、従業員のための識別子。,,CO11
168,2,Attribute,PK,Identifier Reference,ID Number,xbrli:stringItemType,,0..1,Internal ID Number associated with identifierReference,gl-cor,0,,,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,,CO11_01
169,2,Attribute,,Identifier Reference,Purpose,xbrli:stringItemType,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-cor,0,,,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,,CO11_BU11_02
170,2,Attribute,,Identifier Reference,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",gl-cor,0,,,CVE有効性,CVE識別子が有効か無効かを示すブール値。,,CO11_03
171,2,Attribute,,Identifier Reference,Organization Type,xbrli:tokenItemType,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",gl-cor,0,,,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他)",,CO11_04
172,2,Attribute,,Identifier Reference,Organization Type Description,xbrli:stringItemType,,0..1,Free format description of the identifier organization type,gl-cor,0,,,CVE組織種別説明,CVE識別子の組織種別の説明。,,CO11_05
173,2,Attribute,,Identifier Reference,Description,xbrli:stringItemType,,0..1,Textual description of identifierReference.,gl-cor,0,,,CVE説明,identifierReferenceの説明。,,CO11_06
174,2,Attribute,,Identifier Reference,Type,xbrli:tokenItemType,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",gl-cor,0,,,CVE種別,"実体の種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)",,CO11_07
175,2,Attribute,,Identifier Reference,Category,xbrli:stringItemType,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",gl-cor,0,,,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,,CO11_08
176,2,Composition,,Identifier Reference,,,External Authority,0..*,,gl-cor,0,,,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,,CO11_09
177,2,Composition,,Identifier Reference,,,Email,0..*,,gl-cor,0,,,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,,CO11_10
178,2,Composition,,Identifier Reference,,,Phone,0..*,,gl-cor,0,,,【電話番号】,CVE識別子の電話番号。,,CO11_11
179,2,Composition,,Identifier Reference,,,Fax,0..*,,gl-cor,0,,,【FAX番号】,CVE識別子のFAX番号の構造体。,,CO11_12
180,2,Composition,,Identifier Reference,,,Address,0..*,,gl-cor,0,,,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,,CO11_BU11_13
181,2,Composition,,Identifier Reference,,,Contact,0..*,,gl-cor,0,,,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,,CO11_14
54,1,Class,,Identifiers,,,,0..*,Structure which contains various identifiers for the company.,gl-bus,0,,,【識別子】,組織に関する様々な識別子を含むセクション。,,BU07
55,2,Attribute,PK,Identifiers,Organization Identifier,xbrli:stringItemType,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-bus,0,,,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,,BU07_01
56,2,Attribute,,Identifiers,Organization Description,xbrli:stringItemType,,0..1,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-bus,0,,,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,,BU07_02
209,1,Class,,Job Information,,,,0..*,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-bus,0,,,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,,BU16
210,2,Attribute,PK,Job Information,Identifier,xbrli:stringItemType,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-bus,0,,,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,,BU16_UK16_01
211,2,Attribute,,Job Information,Description,xbrli:stringItemType,,0..1,Description of job,gl-bus,0,,,ジョブ説明,ジョブの説明。,,BU16_UK16_02
212,2,Attribute,,Job Information,Phase,xbrli:stringItemType,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-bus,0,,,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,,BU16_UK16_03
213,2,Attribute,,Job Information,Phase Description,xbrli:stringItemType,,0..1,"Description of Job code, phase, activity",gl-bus,0,,,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,,BU16_UK16_04
214,2,Attribute,,Job Information,Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",gl-bus,0,,,ジョブ有効性,ジョブが有効か無効かを示すブール値。,,BU16_UK16_05
21,1,Class,,Last Modified,,,,0..*,Last modification activity record,gl-cor,0,,,【最新更新活動】,最新の更新履歴,,CO04
15,2,Attribute,,Last Modified.Activity,Date Time,xbrli:dateTimeItemType,,1,Date and time of activity,gl-cor,0,,,日時,実行日時,,CO04_CO01_01
16,2,Reference Association,,Last Modified.Activity,,,User,1,System user performing the activity,gl-cor,0,,,システムユーザー,操作ユーザー,,CO04_CO01_02
193,1,Class,,Measurable,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-bus,0,,,【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,,BU15
194,2,Attribute,PK,Measurable,Identification,xbrli:stringItemType,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,gl-bus,0,,,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,,BU15_01
195,2,Attribute,,Measurable,Code,xbrli:tokenItemType,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",gl-bus,0,,,計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他
[設定値のリスト]
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",,BU15_02
196,2,Attribute,,Measurable,Code Description,xbrli:stringItemType,,0..1,Free format description of the measurable code,gl-bus,0,,,計測可能物コード説明,計測可能物のコードの説明。,,BU15_03
197,2,Attribute,,Measurable,Category,xbrli:stringItemType,,0..1,Category of the measurable,gl-bus,0,,,計測可能物カテゴリ,計測可能物のカテゴリ。,,BU15_04
198,2,Attribute,,Measurable,Schema for Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID can be validated,gl-bus,0,,,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,,BU15_05
199,2,Attribute,,Measurable,Secondary Identifier,xbrli:stringItemType,,0..1,Second identifier (such as vendor's item number),gl-bus,0,,,計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,,BU15_06
200,2,Attribute,,Measurable,Schema for Secondary Identification,xbrli:stringItemType,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,gl-bus,0,,,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,,BU15_07
201,2,Attribute,,Measurable,Description,xbrli:stringItemType,,0..1,Text description of measurable (e.g. inventory item or other identifier),gl-bus,0,,,計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）,,BU15_08
202,2,Attribute,,Measurable,Quantity,xbrli:decimalItemType,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",gl-bus,0,,,数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。,,BU15_09
203,2,Attribute,,Measurable,Qualifier,xbrli:tokenItemType,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",gl-bus,0,,,修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。,,BU15_10
204,2,Attribute,,Measurable,Unit of Measure,xbrli:stringItemType,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",gl-bus,0,,,計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。,,BU15_11
